,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
28,29,Style,Taylor Swift,2015,Taylor Swift,40.357242,-75.940153,"Reading, PA",studio,electric,vocal,0.0,0.002523,0.597536,229.10667,0.788614,0.001818,7,0.115684,-5.532,1,0.037556,94.992,0.512166
29,30,Hotline Bling,Drake,2015,Drake,43.666667,-79.416667,"Toronto, Canada",studio,electric,vocal,0.0,0.002263,0.89321,267.02395,0.638577,0.000315,2,0.038221,-7.857,1,0.054914,134.963,0.582025
30,31,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack",2015,David Guetta,48.866667,2.333333,"Paris, France ",studio,electric,vocal,0.0,0.238553,0.615099,192.56,0.730184,0.0,9,0.323706,-4.091,1,0.140555,86.008,0.549445
31,32,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,2015,Flo Rida,,,,,,,,,,,,,,,,,,,
32,33,What Do You Mean?,Justin Bieber,2015,Justin Bieber,43.366667,-80.983333,"Stratford, Canada",studio,vocal,,0.0,0.620985,0.83387,207.54667,0.540218,0.000524,5,0.090775,-8.674,0,0.090414,125.035,0.815653
33,34,Photograph,Ed Sheeran,2015,Ed Sheeran,52.166667,1.0,"Suffolk, England",studio,electric,vocal,0.0,0.138692,0.703817,222.22667,0.384245,2e-06,4,0.154185,-10.586,1,0.040832,108.026,0.163324
34,35,Hello,Adele,2015,Adele,51.5072648,-0.1278328,"London, UK",studio,electric,vocal,0.0,0.313025,0.390831,276.79302,0.263102,0.0,8,0.552873,-16.707,1,0.034782,80.617,0.394955
35,36,Stitches,Shawn Mendes,2015,Shawn Mendes,60.0,-95.0,"Pickering Ontario, Canada",studio,electric,vocal,0.0,0.015703,0.751608,206.90667,0.732639,0.0,10,0.052623,-6.673,0,0.069605,149.919,0.769043
36,37,Talking Body,Tove Lo,2015,Tove Lo,59.3333333,18.05,"stockholm, sweden",studio,electric,vocal,0.0,0.083155,0.73095,238.65333,0.726073,0.0,4,0.095109,-7.235,0,0.037565,120.008,0.104586
37,38,Jealous,Nick Jonas,2015,Nick Jonas,41.0108,-74.1667,"Wyckoff, NJ, US",studio,electric,vocal,0.0,0.01038,0.696879,222.22667,0.709235,0.0,11,0.479052,-3.844,0,0.099562,93.021,0.378588
38,39,Time of Our Lives,Pitbull and Ne-Yo,2015,Pitbull,25.729,-80.2374,"Miami, FL, US",studio,electric,vocal,0.0,0.094215,0.708915,213.54721,0.739968,0.0,5,0.697051,-7.118,0,0.059812,124.02,0.749857
39,40,Locked Away,R. City featuring Adam Levine,2015,R. City,,,,,,,,,,,,,,,,,,,
40,41,Somebody,Natalie La Rose featuring Jeremih,2015,Natalie La Rose,52.5,5.75,Netherlands ,studio,electric,vocal,0.0,0.001356,0.80909,182.73333,0.688152,1e-06,0,0.333353,-6.927,1,0.062497,105.036,0.69255
41,42,FourFiveSeconds,"Rihanna, Kanye West, and Paul McCartney",2015,Rihanna,13.1667,-59.5333,"Saint Michael, Barbados",studio,vocal,,0.0,0.867511,0.579127,188.238,0.268226,0.0,2,0.119856,-5.65,1,0.044161,205.903,0.33225
42,43,Centuries,Fall Out Boy,2015,Fall Out Boy,42.0756,-87.7077,"Wilmette, IL, US",studio,electric,vocal,0.0,0.004345,0.351375,214.7522,0.505207,0.0,4,0.179873,-14.801,0,0.061449,175.946,0.468806
43,44,My Way,Fetty Wap featuring Monty,2015,Fetty Wap,40.078875,-82.688125,"Paterson, New Jersey United States ",remix,studio,electric,0.0,0.016157,0.805326,286.11873,0.549791,0.0,6,0.094028,-8.149,1,0.043226,128.056,0.375153
44,45,Take Your Time,Sam Hunt,2015,Sam Hunt,34.0145,-85.2566,"Cedartown, GA, US",studio,electric,vocal,0.0,0.113327,0.566637,233.19465,0.440775,0.0,11,0.102423,-16.754,1,0.043784,80.612,0.531085
45,46,Animals,Maroon 5,2015,Maroon 5,33.973951,-118.248405,"Los Angeles, CA",electric,vocal,,0.0,0.00018,0.372537,222.1971,0.398138,1e-06,4,0.861088,-18.07,0,0.064153,129.332,0.392631
46,47,I Don't Fuck with You,Big Sean featuring E-40,2015,Big Sean,42.347021,-83.060184,"Detroit, MI",studio,electric,vocal,0.0,0.039073,0.804053,284.3951,0.576378,0.0,1,0.32419,-10.761,1,0.169823,97.997,0.303369
