,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
165,1979,"Earth, Wind & Fire & The Emotions",Boogie Wonderland,"Earth, Wind & Fire & The Emotions",,,,,,,,,,,,,,,,,,,
166,1979,GQ,Disco Nights (Rock-Freak),GQ,,,,,,,,,,,,,,,,,,,
167,1979,Linda Ronstadt,Ooo Baby Baby,Linda Ronstadt,,,,,,,,,,,,,,,,,,,
168,1979,Bob Seger & The Silver Bullet Band,Weve Got Tonight,Bob Seger & The Silver Bullet Band,,,,,,,,,,,,,,,,,,,
169,1979,Nigel Olsson,Dancin Shoes,Nigel Olsson,53.4238,-3.06523,"Wallasey, England, GB",studio,electric,vocal,0.0,0.017765,0.328938,245.06667,0.383364,2.4e-05,3,0.044648,-13.55,1,0.034107,202.001,0.502766
170,1979,GQ,I Do Love You,GQ,,,,,,,,,,,,,,,,,,,
171,1980,Pink Floyd,Another Brick in the Wall Part II,Pink Floyd,,,,,,,,,,,,,,,,,,,
172,1980,Teri DeSario & KC,Yes Im Ready,Teri DeSario & KC,,,,,,,,,,,,,,,,,,,
173,1980,Kenny Loggins,This Is It,Kenny Loggins,47.9791667,-122.2008333,"Everett, WA, US ",electric,vocal,,0.0,0.253428,0.501805,258.4381,0.416494,3e-06,5,0.709101,-12.63,0,0.035007,95.873,0.375212
174,1980,Kenny Rogers & Kim Carnes,Dont Fall in Love with a Dreamer,Kenny Rogers & Kim Carnes,,,,,,,,,,,,,,,,,,,
175,1980,The SOS Band,Take Your Time (Do It Right),The SOS Band,,,,,,,,,,,,,,,,,,,
176,1980,Barbra Streisand & Donna Summer,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer,,,,,,,,,,,,,,,,,,,
177,1980,The Pretenders,Brass in Pocket,The Pretenders,51.5072648,-0.1278328,"London , UK",studio,vocal,,0.00511357780088,0.481794,0.713724,226.17333,0.705947,3.1e-05,2,0.089521,-6.553,1,0.028013,89.381,0.772018
178,1980,Benny Mardones,Into the Night,Benny Mardones,41.5047,-81.6907,"Cleveland, OH, US",studio,vocal,,0.0,0.492999,0.344284,394.02667,0.612633,0.000133,10,0.657121,-7.411,0,0.032489,168.437,0.568074
179,1980,Neil & Dara Sedaka,Shouldve Never Let You Go,Neil & Dara Sedaka,,,,,,,,,,,,,,,,,,,
180,1980,Peaches & Herb,I Pledge My Love,Peaches & Herb,38.8991,-77.029,"Washington, DC, US",studio,vocal,,0.0,0.690913,0.523395,250.84,0.436182,0.0,5,0.102567,-10.105,1,0.031528,180.25,0.504551
181,1981,Diana Ross & Lionel Richie,Endless Love,Diana Ross & Lionel Richie,,,,,,,,,,,,,,,,,,,
182,1981,Joey Scarbury,Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,,,,,,,,,,,,,,,,,,,
183,1981,Grover Washington  Jr. & Bill Withers,Just the Two of Us,Grover Washington  Jr. & Bill Withers,,,,,,,,,,,,,,,,,,,
184,1981,Barbra Streisand & Barry Gibb,Guilty,Barbra Streisand & Barry Gibb,,,,,,,,,,,,,,,,,,,
185,1981,The Manhattan Transfer,The Boy from New York City,The Manhattan Transfer,,,,,,,,,,,,,,,,,,,
186,1981,The Greg Kihn Band,The Breakup Song (They Dont Write Em),The Greg Kihn Band,,,,,,,,,,,,,,,,,,,
187,1981,Dottie West & Kenny Rogers,What Are We Doin in Love,Dottie West & Kenny Rogers,,,,,,,,,,,,,,,,,,,
188,1981,Stevie Nicks & Tom Petty,Stop Draggin My Heart Around,Stevie Nicks & Tom Petty,,,,,,,,,,,,,,,,,,,
189,1981,John Cougar,Aint Even Done With The Night,John Cougar,,,,,,,,,,,,,,,,,,,
190,1981,George Duke & Stanley Clarke,Sweet Baby,George Duke & Stanley Clarke,,,,,,,,,,,,,,,,,,,
191,1981,Barbra Streisand & Barry Gibb,What Kind of Fool,Barbra Streisand & Barry Gibb,,,,,,,,,,,,,,,,,,,
192,1981,Olivia Newton-John & Cliff Richard,Suddenly,Olivia Newton-John & Cliff Richard,,,,,,,,,,,,,,,,,,,
193,1981,The Beach Boys,The Beach Boys Medley,The Beach Boys,,,,,,,,,,,,,,,,,,,
194,1981,Gary Wright,Really Wanna Know You,Gary Wright,,,,,,,,,,,,,,,,,,,
195,1982,John Cougar,Jack & Diane,John Cougar,,,,,,,,,,,,,,,,,,,
196,1982,John Cougar,Hurts So Good,John Cougar,,,,,,,,,,,,,,,,,,,
197,1982,Stevie Wonder,That Girl,Stevie Wonder,42.347021,-83.060184,Detroit Michigan,studio,electric,vocal,0.0,0.093897,0.791281,313.84,0.688991,1.4e-05,6,0.058941,-9.014,1,0.046294,106.974,0.896006
198,1982,Daryl Hall & John Oates,Did It in a Minute,Daryl Hall & John Oates,,,,,,,,,,,,,,,,,,,
199,1982,Joan Jett & The Blackhearts,Crimson and Clover,Joan Jett & The Blackhearts,,,,,,,,,,,,,,,,,,,
200,1982,Billy Idol,Hot in the City,Billy Idol,51.5561,-0.25969,"Middlesex, England, GB",studio,electric,vocal,0.0,0.001322,0.67325,235.23156,0.507643,0.000131,7,0.242219,-17.749,1,0.032933,111.213,0.80224
